"filename", "language", "JavaScript JSX", "JSON", "HTML", "JavaScript", "Markdown", "XML", "PostCSS", "Python", "pip requirements", "comment", "blank", "total"
"/home/stevens/Documents/work/dit-archive/backend/services/ai.py", "Python", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -3, -22
"/home/stevens/Documents/work/dit-archive/backend/services/mailer.py", "Python", 0, 0, 0, 0, 0, 0, 0, -84, 0, -15, -11, -110
"/home/stevens/Documents/work/dit-archive/backend/services/scraper.py", "Python", 0, 0, 0, 0, 0, 0, 0, -75, 0, -9, -20, -104
"/home/stevens/Documents/work/dit-archive/backend/services/services.py", "Python", 0, 0, 0, 0, 0, 0, 0, -178, 0, -22, -35, -235
"/home/stevens/Documents/work/dit-archive/backend/services/test_send_mail.py", "Python", 0, 0, 0, 0, 0, 0, 0, -11, 0, -2, -5, -18
"/home/stevens/Documents/work/dit-archive/backend/utils/auth_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, -105, 0, -15, -24, -144
"/home/stevens/Documents/work/dit-archive/backend/utils/cloudinary_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, -26, 0, -1, -4, -31
"/home/stevens/Documents/work/dit-archive/backend/utils/teste de charge.py", "Python", 0, 0, 0, 0, 0, 0, 0, -34, 0, -5, -9, -48
"/home/stevens/Documents/work/dit-archive/frontend/README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 8, 17
"/home/stevens/Documents/work/dit-archive/frontend/eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"/home/stevens/Documents/work/dit-archive/frontend/index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/stevens/Documents/work/dit-archive/frontend/package-lock.json", "JSON", 0, 5525, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5526
"/home/stevens/Documents/work/dit-archive/frontend/package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/home/stevens/Documents/work/dit-archive/frontend/postcss.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/home/stevens/Documents/work/dit-archive/frontend/public/DIT ARCHIVE LOGO.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/stevens/Documents/work/dit-archive/frontend/public/DIT ARCHIVE mascot(1).svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/stevens/Documents/work/dit-archive/frontend/public/dit-archive.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/stevens/Documents/work/dit-archive/frontend/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/stevens/Documents/work/dit-archive/frontend/src/App.jsx", "JavaScript JSX", 165, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 200
"/home/stevens/Documents/work/dit-archive/frontend/src/components/Nora/ChatInput.jsx", "JavaScript JSX", 111, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 150
"/home/stevens/Documents/work/dit-archive/frontend/src/components/Nora/MessageBubble.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 108
"/home/stevens/Documents/work/dit-archive/frontend/src/components/Nora/NoraAvatar.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"/home/stevens/Documents/work/dit-archive/frontend/src/components/Nora/NoraSummary.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 52
"/home/stevens/Documents/work/dit-archive/frontend/src/components/Nora/SidebarItem.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/AdminBroadcastModal.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 98
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/AdminConfig.jsx", "JavaScript JSX", 147, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 166
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/AdminFeedbacksModal.jsx", "JavaScript JSX", 132, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 143
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/HistoricalUploadModal.jsx", "JavaScript JSX", 169, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 199
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/NoraBrain.jsx", "JavaScript JSX", 134, 0, 0, 0, 0, 0, 0, 0, 0, 22, 18, 174
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/ProjectItem.jsx", "JavaScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 112
"/home/stevens/Documents/work/dit-archive/frontend/src/components/admin/StatCard.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"/home/stevens/Documents/work/dit-archive/frontend/src/components/api/axios.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 9, 49
"/home/stevens/Documents/work/dit-archive/frontend/src/components/auth/Login.jsx", "JavaScript JSX", 119, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 141
"/home/stevens/Documents/work/dit-archive/frontend/src/components/auth/ProtectedRoute.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
